lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence
28.623999999999995,76.976,28,34,1087,895,0.876787
28.623999999999995,76.996,71,71,639,639,1.0
28.623999999999995,77.01599999999999,20,30,3464,2309,0.99761
28.623999999999995,77.03599999999999,11,15,314,230,0.98
28.623999999999995,77.05599999999998,20,30,3464,2309,0.99761
28.623999999999995,77.07599999999998,20,30,3517,2345,1.0
28.623999999999995,77.09599999999998,33,38,923,801,1.0
28.623999999999995,77.11599999999997,22,33,1179,786,1.0
28.623999999999995,77.13599999999997,33,48,891,612,1.0
28.623999999999995,77.15599999999996,32,39,610,500,1.0
28.623999999999995,77.17599999999996,36,44,661,540,1.0
28.623999999999995,77.19599999999996,29,45,624,402,1.0
28.623999999999995,77.21599999999995,21,31,232,157,1.0
28.623999999999995,77.23599999999995,25,31,570,460,1.0
28.623999999999995,77.25599999999994,29,38,981,748,1.0
28.623999999999995,77.27599999999994,42,50,1153,969,1.0
28.623999999999995,77.29599999999994,34,34,140,140,1.0
28.623999999999995,77.31599999999993,34,40,256,217,1.0
28.623999999999995,77.33599999999993,36,36,313,313,1.0
28.623999999999995,77.35599999999992,28,35,539,431,1.0
28.623999999999995,77.37599999999992,30,38,1520,1200,1.0
28.643999999999995,76.936,28,28,1690,1690,1.0
28.643999999999995,76.956,25,32,1470,1148,0.928843
28.643999999999995,76.976,27,27,407,407,1.0
28.643999999999995,76.996,56,59,571,542,0.944474
28.643999999999995,77.01599999999999,27,27,515,515,1.0
28.643999999999995,77.03599999999999,22,25,1447,1273,0.936846
28.643999999999995,77.05599999999998,22,25,1447,1273,0.936846
28.643999999999995,77.07599999999998,30,30,137,137,1.0
28.643999999999995,77.09599999999998,20,30,3517,2345,1.0
28.643999999999995,77.11599999999997,20,30,3517,2345,1.0
28.643999999999995,77.13599999999997,22,33,1179,786,1.0
28.643999999999995,77.15599999999996,24,37,627,407,0.998743
28.643999999999995,77.17599999999996,21,35,380,228,1.0
28.643999999999995,77.19599999999996,36,44,661,540,1.0
28.643999999999995,77.21599999999995,17,26,913,597,1.0
28.643999999999995,77.23599999999995,18,25,882,635,1.0
28.643999999999995,77.25599999999994,64,64,22,22,1.0
28.643999999999995,77.27599999999994,24,30,506,404,0.998394
28.643999999999995,77.29599999999994,28,33,437,370,0.998006
28.643999999999995,77.31599999999993,34,40,766,651,1.0
28.643999999999995,77.33599999999993,17,24,297,210,1.0
28.643999999999995,77.35599999999992,31,31,491,491,1.0
28.643999999999995,77.37599999999992,18,26,420,291,0.9979
28.663999999999994,76.936,65,65,492,492,1.0
28.663999999999994,76.956,56,59,571,542,0.944474
28.663999999999994,76.976,39,39,467,467,1.0
28.663999999999994,76.996,28,35,1087,870,0.966446
28.663999999999994,77.01599999999999,27,27,515,515,1.0
28.663999999999994,77.03599999999999,27,27,516,516,1.0
28.663999999999994,77.05599999999998,27,34,2868,2277,0.963281
28.663999999999994,77.07599999999998,18,22,790,646,0.938278
28.663999999999994,77.09599999999998,42,50,1266,1063,1.0
28.663999999999994,77.11599999999997,19,25,371,281,1.0
28.663999999999994,77.13599999999997,33,48,891,612,1.0
28.663999999999994,77.15599999999996,20,30,3464,2309,0.99761
28.663999999999994,77.17599999999996,25,34,938,689,1.0
28.663999999999994,77.19599999999996,23,31,1246,924,0.966438
28.663999999999994,77.21599999999995,12,12,15,15,1.0
28.663999999999994,77.23599999999995,43,43,84,84,1.0
28.663999999999994,77.25599999999994,42,50,1153,969,1.0
28.663999999999994,77.27599999999994,7,16,1724,754,0.798334
28.663999999999994,77.29599999999994,21,28,773,580,1.0
28.663999999999994,77.31599999999993,23,30,707,542,0.99141
28.663999999999994,77.33599999999993,23,32,342,246,0.99
28.663999999999994,77.35599999999992,43,43,673,673,1.0
28.663999999999994,77.37599999999992,32,32,143,143,1.0
28.683999999999994,76.936,26,31,1413,1185,0.859324
28.683999999999994,76.956,29,42,2316,1599,0.9949
28.683999999999994,76.976,29,42,2316,1599,0.9949
28.683999999999994,76.996,29,42,2316,1599,0.9949
28.683999999999994,77.01599999999999,29,37,2110,1654,0.992008
28.683999999999994,77.03599999999999,29,37,2110,1654,0.992008
28.683999999999994,77.05599999999998,29,37,2110,1654,0.992008
28.683999999999994,77.07599999999998,29,37,2110,1654,0.992008
28.683999999999994,77.09599999999998,42,50,1266,1063,1.0
28.683999999999994,77.11599999999997,26,32,785,638,1.0
28.683999999999994,77.13599999999997,19,27,392,276,1.0
28.683999999999994,77.15599999999996,21,33,530,337,1.0
28.683999999999994,77.17599999999996,24,30,556,445,1.0
28.683999999999994,77.19599999999996,15,25,2181,1308,0.980545
28.683999999999994,77.21599999999995,25,33,338,256,1.0
28.683999999999994,77.23599999999995,33,43,374,287,1.0
28.683999999999994,77.25599999999994,33,38,1308,1136,0.994318
28.683999999999994,77.27599999999994,18,30,746,448,0.995637
28.683999999999994,77.29599999999994,16,24,865,576,0.988779
28.683999999999994,77.31599999999993,27,27,348,348,1.0
28.683999999999994,77.33599999999993,32,38,1083,912,0.999188
28.683999999999994,77.35599999999992,21,28,435,326,0.96
28.683999999999994,77.37599999999992,24,33,189,138,0.976894
28.703999999999994,76.936,37,46,1059,852,0.992008
28.703999999999994,76.956,22,22,501,501,1.0
28.703999999999994,76.976,31,31,414,414,1.0
28.703999999999994,76.996,32,32,473,473,1.0
28.703999999999994,77.01599999999999,37,37,518,518,1.0
28.703999999999994,77.03599999999999,14,20,1472,1030,0.853833
28.703999999999994,77.05599999999998,15,20,646,484,0.911034
28.703999999999994,77.07599999999998,25,25,161,161,1.0
